title_english,status,episodes,rating,rank,popularity,favorites,score,genres,themes,scored_by_members,is_ongoing,genre_list,action,adventure,avant garde,award winning,boys love,comedy,drama,ecchi,erotica,fantasy,girls love,gourmet,hentai,horror,mystery,romance,sci-fi,slice of life,sports,supernatural,suspense,unknown
One Piece,Currently Airing,9.0,PG-13 - Teens 13 or older,52.0,17,239752,8.73,"action, adventure, fantasy",unknown,1999153.5,1,"['action', 'adventure', 'fantasy']",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fullmetal Alchemist: Brotherhood,Finished Airing,64.0,R - 17+ (violence & profanity),2.0,3,234763,9.1,"action, adventure, drama, fantasy",Military,2885063.5,0,"['action', 'adventure', 'drama', 'fantasy']",1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hunter x Hunter,Finished Airing,148.0,PG-13 - Teens 13 or older,8.0,8,221664,9.03,"action, adventure, fantasy",unknown,2467023.0,0,"['action', 'adventure', 'fantasy']",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steins;Gate,Finished Airing,24.0,PG-13 - Teens 13 or older,3.0,14,196685,9.07,"drama, sci-fi, suspense","Psychological, Time Travel",2091440.0,0,"['drama', 'sci-fi', 'suspense']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Attack on Titan,Finished Airing,25.0,R - 17+ (violence & profanity),117.0,1,181378,8.56,"action, award winning, drama, suspense","Gore, Military, Survival",3570438.0,0,"['action', 'award winning', 'drama', 'suspense']",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Death Note,Finished Airing,37.0,R - 17+ (violence & profanity),92.0,2,180547,8.62,"supernatural, suspense",Psychological,3510050.5,0,"['supernatural', 'suspense']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Naruto Shippuden,Finished Airing,500.0,PG-13 - Teens 13 or older,314.0,16,116970,8.28,"action, adventure, fantasy",Martial Arts,2197482.5,0,"['action', 'adventure', 'fantasy']",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Code Geass: Lelouch of the Rebellion,Finished Airing,25.0,R - 17+ (violence & profanity),63.0,22,113097,8.7,"action, award winning, drama, sci-fi","Mecha, Military, School, Super Power",1924293.5,0,"['action', 'award winning', 'drama', 'sci-fi']",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Neon Genesis Evangelion,Finished Airing,26.0,PG-13 - Teens 13 or older,240.0,45,112674,8.36,"action, avant garde, award winning, drama, sci-fi, suspense","Mecha, Psychological",1549473.0,0,"['action', 'avant garde', 'award winning', 'drama', 'sci-fi', 'suspense']",1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Jujutsu Kaisen,Finished Airing,24.0,R - 17+ (violence & profanity),129.0,13,93814,8.54,"action, award winning, supernatural",School,2353890.5,0,"['action', 'award winning', 'supernatural']",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
