title_english,status,episodes,rating,rank,popularity,favorites,score,scored_by_members,action,adventure,avant_garde,award_winning,boys_love,comedy,drama,ecchi,erotica,fantasy,girls_love,gourmet,hentai,horror,mystery,romance,sci-fi,slice_of_life,sports,supernatural,suspense,theme_adult_cast,theme_anthropomorphic,theme_cgdct,theme_childcare,theme_combat_sports,theme_crossdressing,theme_delinquents,theme_detective,theme_educational,theme_gag_humor,theme_gore,theme_harem,theme_high_stakes_game,theme_historical,theme_idols_(female),theme_idols_(male),theme_isekai,theme_iyashikei,theme_love_polygon,theme_love_status_quo,theme_magical_sex_shift,theme_mahou_shoujo,theme_martial_arts,theme_mecha,theme_medical,theme_military,theme_music,theme_mythology,theme_organized_crime,theme_otaku_culture,theme_parody,theme_performing_arts,theme_pets,theme_psychological,theme_racing,theme_reincarnation,theme_reverse_harem,theme_samurai,theme_school,theme_showbiz,theme_space,theme_strategy_game,theme_super_power,theme_survival,theme_team_sports,theme_time_travel,theme_urban_fantasy,theme_vampire,theme_video_game,theme_villainess,theme_visual_arts,theme_workplace,log_popularity,log_episodes
One Piece,1,9.0,PG-13,52.0,17,239752,8.73,1999153.5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8903717578961645,2.302585092994046
Fullmetal Alchemist: Brotherhood,0,64.0,R,2.0,3,234763,9.1,2885063.5,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3862943611198906,4.174387269895637
Hunter x Hunter,0,148.0,PG-13,8.0,8,221664,9.03,2467023.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1972245773362196,5.003946305945459
Steins;Gate,0,24.0,PG-13,3.0,14,196685,9.07,2091440.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.70805020110221,3.2188758248682006
Attack on Titan,0,25.0,R,117.0,1,181378,8.56,3570438.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.6931471805599453,3.258096538021482
Death Note,0,37.0,R,92.0,2,180547,8.62,3510050.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098,3.6375861597263857
Naruto Shippuden,0,500.0,PG-13,314.0,16,116970,8.28,2197482.5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.833213344056216,6.2166061010848646
Code Geass: Lelouch of the Rebellion,0,25.0,R,63.0,22,113097,8.7,1924293.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3.1354942159291497,3.258096538021482
Neon Genesis Evangelion,0,26.0,PG-13,240.0,45,112674,8.36,1549473.0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.828641396489095,3.295836866004329
Jujutsu Kaisen,0,24.0,R,129.0,13,93814,8.54,2353890.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6390573296152584,3.2188758248682006
Your Name.,0,1.0,PG-13,31.0,11,93707,8.83,2464806.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4849066497880004,0.6931471805599453
Demon Slayer: Kimetsu no Yaiba,0,26.0,R,187.0,5,93059,8.43,2767514.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.791759469228055,3.295836866004329
A Silent Voice,0,1.0,PG-13,17.0,19,92828,8.93,2111263.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.995732273553991,0.6931471805599453
