title_english,status,episodes,rating,rank,popularity,members,favorites,score,scored_by,genres,themes,demographics
One Piece,Currently Airing,0.0,PG-13 - Teens 13 or older,52.0,17,2548930,239752,8.73,1449377.0,"Action, Adventure, Fantasy",,Shounen
Fullmetal Alchemist: Brotherhood,Finished Airing,64.0,R - 17+ (violence & profanity),2.0,3,3541474,234763,9.1,2228653.0,"Action, Adventure, Drama, Fantasy",Military,Shounen
Hunter x Hunter,Finished Airing,148.0,PG-13 - Teens 13 or older,8.0,8,3044411,221664,9.03,1889635.0,"Action, Adventure, Fantasy",,Shounen
Steins;Gate,Finished Airing,24.0,PG-13 - Teens 13 or older,3.0,14,2712158,196685,9.07,1470722.0,"Drama, Sci-Fi, Suspense","Psychological, Time Travel",
Attack on Titan,Finished Airing,25.0,R - 17+ (violence & profanity),117.0,1,4188784,181378,8.56,2952092.0,"Action, Award Winning, Drama, Suspense","Gore, Military, Survival",Shounen
Death Note,Finished Airing,37.0,R - 17+ (violence & profanity),92.0,2,4128800,180547,8.62,2891301.0,"Supernatural, Suspense",Psychological,Shounen
Naruto Shippuden,Finished Airing,500.0,PG-13 - Teens 13 or older,314.0,16,2640210,116970,8.28,1754755.0,"Action, Adventure, Fantasy",Martial Arts,Shounen
Code Geass: Lelouch of the Rebellion,Finished Airing,25.0,R - 17+ (violence & profanity),63.0,22,2378847,113097,8.7,1469740.0,"Action, Award Winning, Drama, Sci-Fi","Mecha, Military, School, Super Power",
Neon Genesis Evangelion,Finished Airing,26.0,PG-13 - Teens 13 or older,240.0,45,1939499,112674,8.36,1159447.0,"Action, Avant Garde, Award Winning, Drama, Sci-Fi, Suspense","Mecha, Psychological",
Jujutsu Kaisen,Finished Airing,24.0,R - 17+ (violence & profanity),129.0,13,2840676,93814,8.54,1867105.0,"Action, Award Winning, Supernatural",School,Shounen
Your Name.,Finished Airing,1.0,PG-13 - Teens 13 or older,31.0,11,2917742,93707,8.83,2011870.0,"Award Winning, Drama",,
Demon Slayer: Kimetsu no Yaiba,Finished Airing,26.0,R - 17+ (violence & profanity),187.0,5,3281711,93059,8.43,2253318.0,"Action, Award Winning, Supernatural",Historical,Shounen
A Silent Voice,Finished Airing,1.0,PG-13 - Teens 13 or older,17.0,19,2500201,92828,8.93,1722326.0,"Award Winning, Drama",,Shounen
Your Lie in April,Finished Airing,22.0,PG-13 - Teens 13 or older,80.0,24,2340384,88494,8.64,1422567.0,"Drama, Romance","Love Polygon, Music, School",Shounen
Cowboy Bebop,Finished Airing,26.0,R - 17+ (violence & profanity),47.0,42,1981397,86816,8.75,1022817.0,"Action, Award Winning, Sci-Fi","Adult Cast, Space",
Naruto,Finished Airing,220.0,PG-13 - Teens 13 or older,674.0,9,3006981,83595,8.01,2070000.0,"Action, Adventure, Fantasy",Martial Arts,Shounen
Gurren Lagann,Finished Airing,27.0,PG-13 - Teens 13 or older,80.0,67,1703117,81960,8.64,943575.0,"Action, Adventure, Award Winning, Sci-Fi",Mecha,
Bleach,Finished Airing,366.0,PG-13 - Teens 13 or older,717.0,35,2110853,79473,7.97,1208199.0,"Action, Adventure, Supernatural",,Shounen
Code Geass: Lelouch of the Rebellion R2,Finished Airing,25.0,R - 17+ (violence & profanity),21.0,47,1882997,79055,8.91,1253843.0,"Action, Award Winning, Drama, Sci-Fi","Mecha, Military, Super Power",
Haikyu!!,Finished Airing,25.0,PG-13 - Teens 13 or older,185.0,36,2096119,76685,8.44,1301339.0,Sports,"School, Team Sports",Shounen
Frieren: Beyond Journey's End,Finished Airing,28.0,PG-13 - Teens 13 or older,1.0,137,1173458,72720,9.3,698082.0,"Adventure, Drama, Fantasy",,Shounen
Re:ZERO -Starting Life in Another World-,Finished Airing,25.0,R - 17+ (violence & profanity),363.0,23,2359038,72572,8.24,1506670.0,"Drama, Fantasy, Suspense","Isekai, Psychological, Time Travel",
Clannad: After Story,Finished Airing,24.0,PG-13 - Teens 13 or older,16.0,120,1249251,72165,8.93,683654.0,"Drama, Romance",,
Sword Art Online,Finished Airing,25.0,PG-13 - Teens 13 or older,3346.0,6,3210331,69926,7.22,2227302.0,"Action, Adventure, Fantasy, Romance","Love Polygon, Video Game",
Violet Evergarden,Finished Airing,13.0,PG-13 - Teens 13 or older,71.0,46,1914693,66259,8.68,1045887.0,Drama,,
One Punch Man,Finished Airing,12.0,R - 17+ (violence & profanity),155.0,4,3404988,65898,8.48,2348987.0,"Action, Comedy","Adult Cast, Parody, Super Power",Seinen
Attack on Titan Season 3 Part 2,Finished Airing,10.0,R - 17+ (violence & profanity),4.0,21,2468872,61363,9.05,1710004.0,"Action, Drama, Suspense","Gore, Military, Survival",Shounen
Gintama,Finished Airing,201.0,PG-13 - Teens 13 or older,17.0,147,1120840,60661,8.93,413250.0,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",Shounen
Monster,Finished Airing,74.0,R+ - Mild Nudity,24.0,121,1244390,58262,8.89,473488.0,"Drama, Mystery, Suspense","Adult Cast, Psychological",Seinen
Puella Magi Madoka Magica,Finished Airing,12.0,PG-13 - Teens 13 or older,223.0,104,1360679,58234,8.38,790847.0,"Award Winning, Drama, Suspense","Mahou Shoujo, Psychological",
Toradora!,Finished Airing,25.0,PG-13 - Teens 13 or older,605.0,25,2301974,57764,8.05,1435767.0,"Drama, Romance","Love Polygon, School",
My Hero Academia,Finished Airing,13.0,PG-13 - Teens 13 or older,986.0,7,3189172,53975,7.84,2166682.0,Action,"School, Super Power",Shounen
,Finished Airing,24.0,R - 17+ (violence & profanity),43.0,69,1700839,53433,8.77,986518.0,"Action, Adventure, Drama","Gore, Historical",Seinen
Attack on Titan: Final Season,Finished Airing,16.0,R - 17+ (violence & profanity),38.0,31,2177692,53228,8.78,1445633.0,"Action, Drama, Suspense","Gore, Military, Survival",Shounen
Mob Psycho 100,Finished Airing,12.0,PG-13 - Teens 13 or older,149.0,28,2226694,51967,8.49,1364993.0,"Action, Comedy, Supernatural",,
Tokyo Ghoul,Finished Airing,12.0,R - 17+ (violence & profanity),1109.0,10,2962695,51829,7.79,1947195.0,"Action, Fantasy, Horror, Suspense","Gore, Psychological, Urban Fantasy",Seinen
Chainsaw Man,Finished Airing,12.0,R - 17+ (violence & profanity),175.0,58,1780044,51253,8.45,1008054.0,"Action, Fantasy","Gore, Urban Fantasy",Shounen
Bakemonogatari,Finished Airing,15.0,R - 17+ (violence & profanity),273.0,96,1456263,50359,8.32,756086.0,"Mystery, Romance, Supernatural",Vampire,
Erased,Finished Airing,12.0,R - 17+ (violence & profanity),290.0,29,2217054,50168,8.3,1434038.0,"Mystery, Suspense","Psychological, Time Travel",Seinen
Angel Beats!,Finished Airing,13.0,PG-13 - Teens 13 or older,620.0,32,2151424,49588,8.05,1322194.0,"Drama, Fantasy",School,
Rascal Does Not Dream of Bunny Girl Senpai,Finished Airing,13.0,PG-13 - Teens 13 or older,367.0,48,1872957,49446,8.23,1185805.0,"Drama, Romance, Supernatural",School,
Black Clover,Finished Airing,170.0,PG-13 - Teens 13 or older,488.0,54,1811462,49276,8.14,932652.0,"Action, Fantasy",,Shounen
"No Game, No Life",Finished Airing,12.0,PG-13 - Teens 13 or older,635.0,19,2498523,48216,8.04,1592107.0,"Comedy, Fantasy, Ecchi","Isekai, Strategy Game",
Fairy Tail,Finished Airing,175.0,PG-13 - Teens 13 or older,1735.0,56,1806371,47328,7.57,1042858.0,"Action, Adventure, Fantasy",,Shounen
KonoSuba: God's Blessing on This Wonderful World!,Finished Airing,10.0,PG-13 - Teens 13 or older,549.0,39,2082252,46774,8.09,1343793.0,"Adventure, Comedy, Fantasy","Isekai, Parody",
Made in Abyss,Finished Airing,13.0,R - 17+ (violence & profanity),86.0,91,1488807,46530,8.63,804143.0,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",Gore,
JoJo's Bizarre Adventure: Diamond Is Unbreakable,Finished Airing,39.0,R - 17+ (violence & profanity),143.0,130,1207786,41837,8.5,833280.0,"Action, Adventure",Super Power,Shounen
Kaguya-sama: Love is War,Finished Airing,12.0,PG-13 - Teens 13 or older,209.0,51,1861095,41284,8.4,1166929.0,"Comedy, Romance",School,Seinen
Dragon Ball Z,Finished Airing,291.0,PG-13 - Teens 13 or older,412.0,114,1287087,40730,8.2,882045.0,"Action, Adventure, Comedy, Fantasy",Martial Arts,Shounen
,Finished Airing,12.0,PG-13 - Teens 13 or older,179.0,60,1768260,40359,8.45,1086451.0,"Action, Award Winning, Comedy","Childcare, Super Power",Shounen
Samurai Champloo,Finished Airing,26.0,R - 17+ (violence & profanity),139.0,108,1306781,39836,8.52,666690.0,"Action, Adventure, Comedy","Historical, Samurai",
Psycho-Pass,Finished Airing,22.0,R - 17+ (violence & profanity),266.0,65,1706207,39728,8.33,813808.0,"Action, Mystery, Sci-Fi, Suspense","Adult Cast, Detective, Psychological",
Kill la Kill,Finished Airing,24.0,PG-13 - Teens 13 or older,638.0,57,1800857,38749,8.03,987155.0,"Action, Comedy, Fantasy, Ecchi","School, Urban Fantasy",
JoJo's Bizarre Adventure (2012),Finished Airing,26.0,R - 17+ (violence & profanity),904.0,58,1773715,38720,7.87,1143196.0,"Action, Adventure, Supernatural","Historical, Vampire",Shounen
Horimiya,Finished Airing,13.0,PG-13 - Teens 13 or older,419.0,83,1538151,38405,8.19,932494.0,Romance,School,Shounen
Mushoku Tensei: Jobless Reincarnation,Finished Airing,11.0,R - 17+ (violence & profanity),253.0,92,1484612,37671,8.35,916392.0,"Adventure, Drama, Fantasy, Ecchi","Isekai, Reincarnation",
Parasyte: The Maxim,Finished Airing,24.0,R - 17+ (violence & profanity),270.0,43,1977346,36037,8.32,1216661.0,"Action, Horror, Sci-Fi, Suspense","Gore, Psychological",Seinen
Ouran High School Host Club,Finished Airing,26.0,PG-13 - Teens 13 or older,468.0,134,1190809,35942,8.16,708735.0,"Comedy, Romance","Crossdressing, Reverse Harem, School",Shoujo
Spirited Away,Finished Airing,1.0,PG - Children,41.0,44,1959891,34304,8.77,1367656.0,"Adventure, Award Winning, Fantasy",Mythology,
Fate/Zero,Finished Airing,13.0,R - 17+ (violence & profanity),325.0,82,1563642,34126,8.27,892655.0,"Action, Fantasy",Urban Fantasy,
Noragami,Finished Airing,12.0,PG-13 - Teens 13 or older,771.0,27,2260501,34107,7.94,1318516.0,"Action, Supernatural",Mythology,Shounen
Bocchi the Rock!,Finished Airing,12.0,PG-13 - Teens 13 or older,46.0,316,712532,33808,8.75,429393.0,Comedy,"CGDCT, Music",
JoJo's Bizarre Adventure: Golden Wind,Finished Airing,39.0,R - 17+ (violence & profanity),106.0,149,1108488,33642,8.58,741606.0,"Action, Adventure","Organized Crime, Super Power",Shounen
DARLING in the FRANXX,Finished Airing,24.0,PG-13 - Teens 13 or older,3497.0,61,1749554,33443,7.19,1078379.0,"Action, Drama, Romance, Sci-Fi",Mecha,
Mob Psycho 100 II,Finished Airing,13.0,PG-13 - Teens 13 or older,38.0,73,1654662,33334,8.78,1043123.0,"Action, Comedy, Supernatural",,
Nana,Finished Airing,47.0,R+ - Mild Nudity,115.0,296,736142,33206,8.56,283855.0,"Drama, Romance","Adult Cast, Love Polygon, Music",Shoujo
Anohana: The Flower We Saw That Day,Finished Airing,11.0,PG-13 - Teens 13 or older,306.0,72,1668796,32862,8.29,1014764.0,"Drama, Supernatural",,
The Promised Neverland,Finished Airing,12.0,R - 17+ (violence & profanity),154.0,38,2084828,32753,8.48,1355946.0,"Mystery, Suspense","Psychological, Survival",Shounen
Kaguya-sama: Love is War -Ultra Romantic-,Finished Airing,13.0,PG-13 - Teens 13 or older,14.0,167,1044210,32506,8.97,593027.0,"Comedy, Romance",School,Seinen
The Disastrous Life of Saiki K.,Finished Airing,120.0,PG-13 - Teens 13 or older,205.0,132,1195405,32342,8.41,667406.0,Comedy,"Gag Humor, School, Super Power",Shounen
FLCL,Finished Airing,6.0,PG-13 - Teens 13 or older,626.0,229,868420,32080,8.04,454728.0,"Action, Avant Garde, Comedy, Sci-Fi, Suspense","Mecha, Parody, Psychological",
That Time I Got Reincarnated as a Slime,Finished Airing,24.0,PG-13 - Teens 13 or older,482.0,81,1571555,31994,8.14,951410.0,"Action, Comedy, Fantasy","Isekai, Reincarnation",Shounen
Attack on Titan: Final Season Part 2,Finished Airing,12.0,R - 17+ (violence & profanity),44.0,96,1459163,31465,8.76,862577.0,"Action, Drama, Suspense","Gore, Military, Survival",Shounen
